imageUrl	title	price	totalScore	reviewsCount	state	city	phone	categoryName	description	placeId	location/lat	location/lng
https://lh5.googleusercontent.com/p/AF1QipP3kh0aJyWv5pY-t3qdSaITR4xGl-zFdnUcPCw=w408-h270-k-no	Pergasingan Hill		4.9	231	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 818-0579-1762	hiking area		ChIJQVuUgJIuzC0RwtCFJSpaVrA	-8.3425238	116.5425977
https://lh5.googleusercontent.com/p/AF1QipON5E1suF-ZDAY4VU5amOlKIFmVi9ctND5yHWI4=w408-h306-k-no	Pura Lingsar		4.3	363	Nusa Tenggara Bar.	Kabupaten Lombok Barat		Wisata Sejarah & Budaya	Situs beribadat multi-denominasi dengan pura indah, taman tenang, dan kolam teratai.	ChIJmwoUvYnHzS0Retos_mpIjyA	-8.5758879	116.18106
https://lh5.googleusercontent.com/p/AF1QipPx_TB-FgB4o1SYEfhVSDsglZRcW6bz0X8slveb=w426-h240-k-no	Bukit Selong		4.6	1522	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Hiking Area		ChIJ-fSDAAAvzC0R_bLMnwjxnVc	-8.3652742	116.5400344
https://lh5.googleusercontent.com/p/AF1QipMOHP6qu363UQHu2ZbS_NRarNXEfjQnGmUvnHOW=w408-h544-k-no	Mangku Sakti Waterfall Sajang		4.4	185	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 811-3992-018	Tujuan Wisata		ChIJW1H-n4ErzC0RVAt05xYgpt4	-8.3146961	116.4697579
https://lh5.googleusercontent.com/p/AF1QipM_wb4N8jByhEbdg6P95SmUTKLlzyJdU0W9B1CT=w426-h240-k-no	Pura Narmada		4.4	324	Nusa Tenggara Bar.	Kabupaten Lombok Barat	+62 823-4164-7634	Wisata Sejarah & Budaya		ChIJR0KVZmu4zS0R-N5Q8ac4DDQ	-8.5948102	116.2049057
https://lh5.googleusercontent.com/p/AF1QipOdu3Q8RVolLMLaRM6vMbFU2RTXgh3MeF4Jc5tG=w408-h272-k-no	Taman Nasional Gunung Rinjani		4.7	1715	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Hiking Area	Taman nasional pegunungan & area mendaki dengan perkemahan, pendakian berpemandu & panorama yang memukau.	ChIJ3f___z_NzS0RYcKdlU9Vb_g	-8.4254297	116.3958027
https://lh5.googleusercontent.com/p/AF1QipNaZ_fE8yDZw3A7nb2Q5DssWorxNJuxewJIBr65=w408-h306-k-no	Sembalun Village		4.7	264	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 877-7730-1990	Wisata Alam		ChIJhQG1-0EuzC0RCSuBLwwwiY0	-8.3706758	116.537935
https://lh5.googleusercontent.com/p/AF1QipNRDhHeagsdFEhYLkTqf4emoj5wyuxQrOWFPLSJ=w408-h544-k-no	Lombok Wildlife Park		4.5	2199	Nusa Tenggara Bar.	Kabupaten Lombok Utara	+62 818-261-979	Kebun Binatang		ChIJ671ISJrczS0RonioOg05KJo	-8.398185	116.126909
https://lh5.googleusercontent.com/p/AF1QipOz5kIljwjeLs8MyUAs6xIqZqA9NSDfr9yZGKsK=w408-h544-k-no	Tiu Kelep Waterfall		4.7	414	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Wisata Alam		ChIJW0sW3OfVzS0RpyFtxzLWz4s	-8.3127426	116.4041108
https://lh5.googleusercontent.com/p/AF1QipPgojocP9wpnc7Wnki2rJASYKcj_NNxm04w_96Z=w480-h240-k-no	Tiu Pupus		4.1	144	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Wisata Alam		ChIJ9xTAzALazS0RDcOQSg-1yGM	-8.3397401	116.2187359
https://lh5.googleusercontent.com/p/AF1QipNhv7jFdAg6WUn2ZCdrTINt4qGbhS9nmujq69yf=w408-h306-k-no	Bukit Pergasingan		4.8	661	Nusa Tenggara Bar.	East Lombok Regency		Area Mendaki	Jalur hiking terjal ke arah bukit berhutan lebat untuk panorama luas lahan pertanian & Gunung Rinjani berapi.	ChIJbUeG0h8yzC0RE83hFP1jkjo	-8.3454136	116.5330492
https://lh5.googleusercontent.com/p/AF1QipPB4TpnxtHVn49OMPN-wL-g_X95HjCMGSMpEyc=w426-h240-k-no	Mawi Beach		4.2	316	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJM3tV_EanzS0R0lSS2KrtoXM	-8.8877836	116.1606752
https://lh5.googleusercontent.com/p/AF1QipNgXW6l8YRIc43Rdi_iy4B0gg4ZhyTKmRvY9m8n=w408-h272-k-no	BAT CAVE		4.2	102	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 823-3906-4733	Restoran		ChIJ8wdzPT6pzS0RBbZFV3-NyYY	-8.8896536	116.2528367
https://lh5.googleusercontent.com/p/AF1QipP0DyGEcj5YZI_ee66HztoH8-Y19AOKRes1OAPF=w408-h306-k-no	Pura Gunung Sari		4.6	246	Nusa Tenggara Bar.	Kabupaten Lombok Barat		Wisata Sejarah & Budaya		ChIJn1IH8h_BzS0Ry5qF2auyEn8	-8.5451186	116.111572
https://lh5.googleusercontent.com/p/AF1QipNV-6AA7Lx_eZ3JVKpoOy1H4WpFFom0Uuw1hMe5=w408-h306-k-no	Nipah Beach		4.6	643	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Pantai		ChIJFxFFgt7DzS0RubMTuEP6w_s	-8.4332037	116.0457672
https://lh5.googleusercontent.com/p/AF1QipO044ZBjH7V3yjTboGh-bhFTGOrWh_Ck_bfHUY4=w408-h306-k-no	Otak kokok Joben Evergreen		4.1	927	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 878-8230-9209	Wisata Alam	Kolam renang & air terjun di sekitar hutan adalah objek wisata utama di taman alam yang tenang ini.	ChIJ08eJ2dzKzS0RurgR4hcQ4-4	-8.5341201	116.3988654
https://lh5.googleusercontent.com/p/AF1QipMl6Zy0CfjjlcubFLb-1njPAp6tQTOLO4KfTTuF=w408-h306-k-no	Orong Bukal		4.6	212	Nusa Tenggara Bar.	Kabupaten Lombok Barat	+62 852-3883-9272	Hiking Area		ChIJE5j097mfzS0RuD4W6ory2Pw	-8.8811842	115.9825376
https://lh5.googleusercontent.com/p/AF1QipPT-7yADZC_LnQ51nHnTdqxNv532R5sHvo2iv0x=w408-h306-k-no	Taman Wisata Pusuk Sembalun (Tourist Park)		4.7	673	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Wisata Alam		ChIJf2gFXEgxzC0RdWxc13gm5jk	-8.4151495	116.5382383
https://lh5.googleusercontent.com/p/AF1QipN06PM2GI7mRZmb8FM6gpf7C7Xq5wj6tA1w7EcT=w426-h240-k-no	Puncak Pusuk Sembalun		4.7	41	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 877-5886-8565	Area Mendaki		ChIJlcISeigxzC0RjSbHsuhsLjQ	-8.4142453	116.5353416
https://lh5.googleusercontent.com/p/AF1QipMnwYR1PzsMRNIrXxfQlnYaXQ1MBh6qW5pJYy34=w408-h612-k-no	Tetebatu Waterfall		4.2	164	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Wisata Alam		ChIJx2JGoiU1zC0Rh2fLYmVbhXo	-8.539947	116.421514
https://lh5.googleusercontent.com/p/AF1QipOD6Up0GrfmwgeClyHQKIMGYnts60wJEupn-xUd=w426-h240-k-no	Durian Indah waterfall		3.7	29	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Wisata Alam		ChIJaaWk_-c1zC0RnMDaAuO90QQ	-8.5407237	116.4233882
https://lh5.googleusercontent.com/p/AF1QipMWCTERZEKDHYCuq1s35vd7kXd_W7xW4JrF9Uk=w408-h306-k-no	Air Terjun Jeruk Manis		4	223	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 819-0737-8703	Wisata Alam		ChIJ_____9I0zC0Rr4bviBesiWk	-8.5154529	116.4240234
https://lh5.googleusercontent.com/p/AF1QipOf9vKf7HB7A0owwXSuxCtsldsK2is2SJWkrrDU=w408-h306-k-no	Pantai Nambung		4.5	123	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJJ5EJ-sehzS0R5UufSoWS8pA	-8.8691785	116.1038278
https://lh5.googleusercontent.com/p/AF1QipMrKXluVKP7y6MbWzFnQ5fAPwUh_-WsPBQO8F9I=w408-h306-k-no	Pantai Torok		4.4	195	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJoSHXeSehzS0R2aTB06mblN4	-8.8667173	116.1217439
https://lh5.googleusercontent.com/p/AF1QipPNcBlKPwn9ZFStcnnLP6DHJVG9VSybB_kPAopI=w408-h240-k-no-pi-10-ya111.00001-ro-0-fo100	MAS-MAS			0	West Nusa Tenggara	Central Lombok Regency		Pantai		ChIJd1h7z8m1zS0RlmUr9GVJv7g	-8.601379	116.3515103
https://lh5.googleusercontent.com/p/AF1QipP3FtnPdy-LxEpQk_S5y8Eh1wSFz7RQhhXT9t6O=w519-h240-k-no	Kotaraja			0	West Nusa Tenggara	East Lombok Regency		Tujuan Wisata		ChIJI2ZpSzW1zS0RMOH3yvsLAwU	-8.5865967	116.4164382
https://lh5.googleusercontent.com/p/AF1QipMb9S2gwj31uQxwfEaFbbVZrNbdz3c2hPj5rRUT=w532-h240-k-no	Kembang Kuning			0	West Nusa Tenggara	East Lombok Regency		Tujuan Wisata		ChIJpSKmFNQ0zC0RgOH3yvsLAwU	-8.5160626	116.4223398
https://lh5.googleusercontent.com/p/AF1QipPp3Fni3A2Pdw_00bdEt3YBNdGhEzCSb1kvMoq1=w426-h240-k-no	Aik Berik			0	West Nusa Tenggara	Central Lombok Regency		Wisata Alam		ChIJIzjvX4bLzS0RZ6v_GY-P-N0	-8.4825969	116.3662682
https://lh5.googleusercontent.com/p/AF1QipPvpVNdjwg5BzgxSJJDJ57GVhr75zYlHPGaH1U_=w408-h260-k-no	Bukit Merese		4.7	7271	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 821-1194-2348	Wisata Alam		ChIJn1laO6izzS0RzIjQ0qj2jA8	-8.9139299	116.3190063
https://lh5.googleusercontent.com/p/AF1QipMun4yFnS9zIzlTimNMAgTswrvsd2SKHN4evhHu=w408-h306-k-no	Pantai Kores		4.4	83	Nusa Tenggara Bar.	Kabupaten Lombok Barat		Pantai		ChIJa2vpqG2QzS0Ra3IqYvvuTlE	-8.7537976	115.8805014
https://lh5.googleusercontent.com/p/AF1QipMU3GYUlidBnxfnwxMdoci3mOS_-GOE3EhfDNg_=w408-h725-k-no	Taman Nasional Gunung Rinjani		4.7	1304	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 818-0579-1762	Hiking Area		ChIJjQ62V6W_zS0RPEn4A2jrMPs	-8.3596891	116.5243623
https://lh5.googleusercontent.com/p/AF1QipOUMADDnj15N89vETBGpAsBAFURAIcAKwtmTpEr=w408-h306-k-no	Karang Bayan			0	West Nusa Tenggara	West Lombok Regency		Wisata Sejarah & Budaya		ChIJWzVflF3GzS0RfuXAgZDS9h8	-8.5281634	116.1861605
https://lh5.googleusercontent.com/p/AF1QipMt8k3Cunu8Hrf7mv7P8aKtwVMIAe-H1Cfm24M=w408-h306-k-no	Kesik			0	West Nusa Tenggara	East Lombok Regency		Pantai		ChIJ8cHDcj5LzC0RAN73yvsLAwU	-8.6149257	116.4400439
https://lh5.googleusercontent.com/p/AF1QipMBfj8KpoRBPuqMDuEA3yJqxxWOXxiz-TDZxPwd=w408-h306-k-no	Areguling Beach Lombok		4	185	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 819-3868-3927	Pantai		ChIJ5-LQEh8HzS0REL8uQZ-9zC8	-8.9039798	116.2442773
https://lh5.googleusercontent.com/p/AF1QipNxSca8oM6cRKmqgEv2G_jXfaywZLv5q571xH7a=w408-h509-k-no	Muji Trekker Tour & Travel "Mount Rinjani Trekking Tour Package Price Information Center Lombok"		4.9	28	West Nusa Tenggara	East Lombok Regency	+62 877-7730-1990	Tour agency		ChIJJz_aSmMuzC0RDQCPXoeSpQY	-8.3600675	116.5256257
https://lh5.googleusercontent.com/p/AF1QipPVR0DGVM3k0MeHUC-YbwEJ8Ly1Zb_bueVLuvn-=w408-h544-k-no	Bukit Telaga		5	2	West Nusa Tenggara	East Lombok Regency		Hiking area		ChIJkboO5tUvzC0RQKaf7oxT04c	-8.3803125	116.5274375
https://lh5.googleusercontent.com/p/AF1QipOxj4KaDwf2QGQ_JGLzr8HLlSv15co9LQpadBqe=w408-h408-k-no	Sembalun			0	West Nusa Tenggara	East Lombok Regency		Wisata Alam		ChIJNRfuPTgszC0RTptKuwApUaI	-8.3659817	116.5361579
https://lh5.googleusercontent.com/p/AF1QipMZ2XlfYVYDnb84caVHXXG--jxC3tNRvEfi1F1P=w436-h240-k-no	Malimbu Hill		4.6	1122	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Wisata Alam		ChIJXWDzchvozS0RgN32LMJTi-0	-8.4431424	116.033795
https://lh5.googleusercontent.com/p/AF1QipPBYW1HdaakM_43eKU-GK0QBKyL9zoRBvmORyuj=w408-h306-k-no	senggigi waterfall		3.4	15	Nusa Tenggara Bar.	Kabupaten Lombok Barat		Wisata Alam		ChIJSf_Y6Z7DzS0RnsPgYLuQ_ek	-8.4797182	116.0649502
https://lh5.googleusercontent.com/p/AF1QipN6hjTL5Wk8hGnRS3rvw2gc958mm42_6V8-rtTf=w408-h724-k-no	Pusuk Forest Viewpoint		4.5	150	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Cagar Alam		ChIJPYo7gGzDzS0ROfQAZFGYj8U	-8.4644728	116.0840597
https://lh5.googleusercontent.com/p/AF1QipMuTzi-43Ke4ewTY_Sl-0TqflkRcPs4E9uZ_YGg=w408-h725-k-no	Turtle Conservation Community Nipah Beach		4.7	79	Nusa Tenggara Bar.	Kota Mataram		Tujuan Wisata		ChIJPyoZJIrDzS0RCouP2PBfv6o	-8.4342851	116.0450534
https://lh5.googleusercontent.com/p/AF1QipNVzBu0_0EKeZ0lMHof_sMmuzLBHkSt2HLiPFUa=w408-h306-k-no	Taman Wisata Alam Gunung Tunak		4.3	222	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 819-0717-5905	Wisata Alam		ChIJ-UivCCIBzS0RnicSiHrkyOU	-8.9110513	116.3809577
https://lh5.googleusercontent.com/p/AF1QipOuVpsQG8Ae3YZnCgSdQo9hCrceOFZCurLjrSA5=w426-h240-k-no	Gili Batu Ayok		4.8	6	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Wisata Alam		ChIJZeUthEcHzS0Rg9gkxjua7JU	-8.9091162	116.3026053
https://lh5.googleusercontent.com/p/AF1QipPWgbddj96n-2TMOq87hZA517-LoJOu0LiUs4oZ=w408-h306-k-no	Kampung Tradisional Ende		4.6	270	Nusa Tenggara Bar.	Kabupaten Lombok Tengah	+62 818-0218-1650	Wisata Sejarah & Budaya		ChIJTZj05zKpzS0RRbhlRk-uLc8	-8.8213125	116.2937687
https://lh5.googleusercontent.com/p/AF1QipP6OcvGu40wtps01OY8wwKbi3acPbnleBx0p17P=w408-h408-k-no	Goa Kotak Lombok		4.3	122	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJC7L0jG2nzS0RIEuqXOBsHoQ	-8.9237123	116.342645
https://lh5.googleusercontent.com/p/AF1QipNz5-DgGhY-v2TIVHwLY5IXCvULZuV140jj2_zI=w480-h240-k-no	Taman Wisata Alam Kerandangan		4.2	46	West Nusa Tenggara	West Lombok Regency	+62 819-0717-5905	National forest		ChIJcSV_WxXDzS0RSlqSs1dHHdg	-8.4789096	116.0535904
https://lh5.googleusercontent.com/p/AF1QipPSza7yszeKZBbdHq6mcQZxrsGcZW8hg-jMKpcW=w408-h408-k-no	Kuta			0	West Nusa Tenggara	Central Lombok Regency		Pantai		ChIJSXSDI9CpzS0RANz3yvsLAwU	-8.8802739	116.2836124
https://lh5.googleusercontent.com/p/AF1QipPwldGARtFE2YnBJ-M2e6AaqyOD-IU6eHDqWURz=w426-h240-k-no	Prabu			0	West Nusa Tenggara	Central Lombok Regency		Tujuan Wisata		ChIJ50_zwUGozS0R8Nv3yvsLAwU	-8.8696829	116.2570385
https://lh5.googleusercontent.com/p/AF1QipPEAu6eImFKU5O2sFwkc1kV02oKa5Bnen3reXuO=w408-h725-k-no	Transmart Mataram		4.3	5135	West Nusa Tenggara	Mataram City		Shopping mall		ChIJy3IzDK-4zS0Rgk1cV4zcByk	-8.5906479	116.1461841
https://lh5.googleusercontent.com/p/AF1QipPCT3EamghFh2eExsDxP2r3tmcUxndbPUULWxOS=w408-h306-k-no	Air Terjun Tiu Pituq		4.1	200	Nusa Tenggara Bar.	Kabupaten Lombok Utara	+62 823-4196-1234	Wisata Alam		ChIJvwft0gLazS0R1Udldz6_JmY	-8.3400549	116.2187782
https://lh5.googleusercontent.com/p/AF1QipOTQtf80pHSwUYPIWm3XmSADFrPrtn6vquwKqiH=w408-h544-k-no	Air terjun Kerta Gangga		4.6	94	Nusa Tenggara Bar.	Kabupaten Lombok Utara	+62 823-3943-2086	Wisata Alam		ChIJ3SEt8ULbzS0RPnlxS7P6kM8	-8.3509325	116.2264661
https://lh5.googleusercontent.com/p/AF1QipNyitSzfASg2Reqed7U3SXvEIjZZd0-satwSnnT=w408-h306-k-no	Rinjani Trekking Official		4.9	150	West Nusa Tenggara	North Lombok Regency	+62 813-3943-7387	Travel Agent		ChIJTWBVbiApzC0RKHJ8u2BqLtc	-8.2843017	116.4145723
https://lh5.googleusercontent.com/p/AF1QipMyMKBBX4b9hPDbLeYXrlwYMt3MhpqkiGBtFc_P=w408-h408-k-no	Rinjani Mountain Garden	£30	4.6	122	West Nusa Tenggara	North Lombok Regency	+62 853-9820-6789	Guest house		ChIJRRlQuTQrzC0RMGC1phpfCGU	-8.299816	116.420454
https://lh5.googleusercontent.com/p/AF1QipP0kv-g4300_-IOxcUjY2izsNirLqWUUjrLWL3E=w408-h907-k-no	MAHAJANI AGRO		5	10	West Nusa Tenggara	North Lombok Regency	+62 819-3752-0570	Tourist attraction		ChIJuahMZ1zVzS0Rl5yNpS6hnuE	-8.2926798	116.4107208
https://lh5.googleusercontent.com/p/AF1QipMhPcJ6cm7pvlkx8kyOBk8tUUQzXwJD1LvSIQFg=w408-h544-k-no	Senaru			0	West Nusa Tenggara	North Lombok Regency		Wisata Alam		ChIJY1R58kPTzS0Rgq6Zukl0LXU	-8.2901965	116.4016834
https://lh5.googleusercontent.com/p/AF1QipNvDByQXq3RG-HK3BqMxEYSRxYKDUVc2adO_BL0=w408-h544-k-no	Mangku Sakti Water Fall & Mangku Kodek Water Fall		4.2	61	West Nusa Tenggara	North Lombok Regency	+62 823-3927-8151	Wisata Alam		ChIJJ0fa46grzC0RzQWKhMmn5B4	-8.2880013	116.4706245
https://lh5.googleusercontent.com/p/AF1QipM-yKuTWUwWO1rg_KM5JWQwoq2Fn9dSoM73TBo0=w408-h544-k-no	AIR TERJUN MANGKU SAKTI		4.7	50	West Nusa Tenggara	North Lombok Regency	+62 878-4758-5421	Wisata Alam		ChIJgfjaU4grzC0RKJGOLWKJzjM	-8.3183535	116.4681854
https://lh5.googleusercontent.com/p/AF1QipNrkYfhZLX-dDFx7NFT50w41RFXahsJVcKGSYmW=w408-h612-k-no	air terjun mangku sakti		5	3	West Nusa Tenggara	East Lombok Regency	+62 819-0771-6254	Wisata Alam		ChIJSQcXZN4tzC0RahUpHlkcG14	-8.3274871	116.467412
https://lh5.googleusercontent.com/p/AF1QipO79MiSlnNXexQHAKRN4q_WO91HevxYEPWMZz_h=w408-h306-k-no	Pantai Torok Bare		4	23	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJgRdhy0UHzS0RikLlZ8DGt7Y	-8.907521	116.3102901
https://lh5.googleusercontent.com/p/AF1QipMQiK5ixpb_ggVXvZLP3VKK1YvnO96jy-ngBSZt=w426-h240-k-no	Rinjani Dawn Adventures - Trekking Tours		4.9	112	West Nusa Tenggara	North Lombok Regency	+62 823-4101-1044	Travel Agent		ChIJgaUxn8_UzS0RQgVVmRfDfSw	-8.3027656	116.401119
https://lh5.googleusercontent.com/p/AF1QipOd4umrOb4gL3riHKCetYYnWYCm-Y6Ih7babGs-=w408-h725-k-no	Rinjani Trekking Center		4.5	122	West Nusa Tenggara	North Lombok Regency	+62 853-3751-1869	Tour operator		ChIJ7x_-yMfUzS0RHTYOmyhTYEU	-8.3016634	116.4070179
https://lh5.googleusercontent.com/p/AF1QipOl1Ty3QDq7Nx8oKAdWw-Y3jyvSG8vsGNcC7oTY=w408-h902-k-no	Sunset garden		5	3	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Tujuan Wisata		ChIJZcJGyErXzS0RyIsPURQgX-k	-8.2806156	116.2485179
https://lh5.googleusercontent.com/p/AF1QipOewANnHEVGvnVIKfGqIVSD57GS-R87BuWtyCIw=w408-h544-k-no	Tiu Ngumbak		4	4	Nusa Tenggara Bar.	Kabupaten Lombok Utara	+62 819-0793-3050	Wisata Alam		ChIJM8URe8rXzS0RYm2DU-UgfdE	-8.3027341	116.3209687
https://lh5.googleusercontent.com/p/AF1QipPZXiNeUTMBvxt5nIIR1zf1kn6_g7oKsyECaKhP=w426-h240-k-no	Sunrise Land Lombok		4.4	106	Nusa Tenggara Bar.	Kabupaten Lombok Timur	+62 859-4215-0158	Pantai		ChIJxR-C2EJPzC0Rs11tpAy-k80	-8.70906	116.5648302
https://lh5.googleusercontent.com/p/AF1QipP7iJ3C8byo731Nvyt7ocmnEZ3_rxs84qyKBALX=w408-h544-k-no	Pura Penataran Agung Rinjani		4.7	160	Nusa Tenggara Bar.	Kabupaten Lombok Utara		Wisata Sejarah & Budaya		ChIJpzC0WD7VzS0RAhhH2V3CNfE	-8.2689227	116.3982646
https://lh5.googleusercontent.com/p/AF1QipMW00ch8cwiDIPESk9X2ucjk97XbXM3-Nqu1AnD=w408-h307-k-no	pantai Bumbang		4	14	Nusa Tenggara Bar.	Kabupaten Lombok Tengah		Pantai		ChIJC051Sy0BzS0Ro3oYo6XW_T4	-8.9030374	116.3749693
https://lh5.googleusercontent.com/p/AF1QipOhA_do3brrtYdsx7UYKi-W0_7xqtNbaTBxysQ=w408-h408-k-no	SURGO ADAM CAMPING GROUND		5	12	West Nusa Tenggara	Central Lombok Regency	+62 813-1949-0943	Camping farm		ChIJ7bo9Xr8BzS0RQp1K67Imivs	-8.907672	116.3266255
https://lh5.googleusercontent.com/p/AF1QipMclKpdVpHFUbLmcpVjv59L6M9VTav0c0-R31kW=w408-h522-k-no	Sembalun Lawang			0	West Nusa Tenggara	East Lombok Regency		Tujuan Wisata		ChIJmwVTe4ktzC0R4Nz3yvsLAwU	-8.3895326	116.4783981
https://lh5.googleusercontent.com/p/AF1QipPTNnKqfLIl0s4LDAHH1ihu1PKM8hnpFbsLZZA=w426-h240-k-no	Pantai Tanjung Bloam		4.4	228	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Pantai	Teluk berpasir yang dikelilingi bukit berhutan, terkenal dengan batu pasir & pemandangan matahari terbit.	ChIJlZM9jnn4zC0RSr4DGV_IscQ	-8.8792522	116.5701922
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9pGDKbA4gyiogQBPyD0fHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=108.38463&pitch=0&thumbfov=100	Ave pink Beach			0	Nusa Tenggara Bar.	Kabupaten Lombok Timur		Pantai		ChIJLwuPWQCzzS0RNfnZ2x7lRjY	-8.6909111	116.3994773
